id,title,genre_ids,overview,release_date,vote_average,vote_count,poster_path,original_language,cast,director
128,もののけ姫,,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",1997-07-12,8.327,8438,/cMYCDADoLKLbB83g4WnJegaZimC.jpg,ja,"['Yoji Matsuda', 'Yuriko Ishida', 'Yuko Tanaka']",Hayao Miyazaki
372754,同級生,,"Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.",2016-02-20,8.325,406,/cIfRCA5wEvj9tApca4UDUagQEiM.jpg,ja,"['Kenji Nojima', 'Hiroshi Kamiya', 'Hideo Ishikawa']",Shoko Nakamura
15804,牯嶺街少年殺人事件,,"A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.",1991-07-27,8.321,343,/rDZ2mNQkZrnSzHPLQ7SzhzgCSoj.jpg,zh,"['Chang Chen', 'Lisa Yang', 'Chang Kuo-Chu']",Edward Yang
105,Back to the Future,,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",1985-07-03,8.321,20691,/vN5B5WgYscRGcQpVhHl6p9DDTP0.jpg,en,"['Michael J. Fox', 'Christopher Lloyd', 'Crispin Glover']",Robert Zemeckis
1356039,Contraataque,,"When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.",2025-02-27,8.315,718,/38I76hGcFY6xB47pjm7pZwkfuAF.jpg,es,"['Luis Alberti', 'Noé Hernández', 'Leonardo Alonso']",Chava Cartas
1184918,The Wild Robot,,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",2024-09-12,8.3,5173,/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,en,"[""Lupita Nyong'o"", 'Pedro Pascal', 'Kit Connor']",Chris Sanders
652837,ジョゼと虎と魚たち,,"With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",2020-12-25,8.314,516,/lNpZWdXC4HtXQ8nVo21gg7T9D6N.jpg,ja,"['Taishi Nakagawa', 'Kaya Kiyohara', 'Yume Miyamoto']",Kotaro Tamura
3782,生きる,,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",1952-10-09,8.3,1214,/dgNTS4EQDDVfkzJI5msKuHu2Ei3.jpg,ja,"['Takashi Shimura', 'Haruo Tanaka', 'Nobuo Kaneko']",Akira Kurosawa
10494,PERFECT BLUE,,"Encouraged by her managers, rising pop star Mima takes on a recurring role on a popular TV show, when suddenly her handlers and collaborators begin turning up murdered.",1998-02-28,8.3,2855,/6WTiOCfDPP8XV4jqfloiVWf7KHq.jpg,ja,"['Junko Iwao', 'Rica Matsumoto', 'Shiho Niiyama']",Satoshi Kon
207,Dead Poets Society,,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",1989-06-02,8.3,11737,/erzbMlcNHOdx24AXOcn2ZKA7R1q.jpg,en,"['Robin Williams', 'Robert Sean Leonard', 'Ethan Hawke']",Peter Weir
